이름,주소,카테고리,위도,경도,source
서울엔(N)비뇨기과의원 구로점,서울 구로구 구로동 1124-72,병원,37.48348953235808,126.89973420955582,category
세영정형외과재활의학과의원,서울 금천구 독산동 950-1,병원,37.4795937591496,126.904306991332,category
가람정신건강의학과의원,서울 관악구 신림동 1655-24,병원,37.48212141306095,126.90141388710782,category
이정길소아과의원,서울 관악구 신림동 564-14,병원,37.4809338318277,126.908054379892,category
굿이비인후과,서울 구로구 구로동 811,병원,37.48411617156787,126.89919065712313,category
연세W산부인과의원 구로점,서울 관악구 신림동 1655,병원,37.4835386713028,126.902465788525,category
유앤아이의원 구로점,서울 구로구 구로동 182-13,병원,37.485922897838,126.89733616989024,category
녹십초재활요양병원,서울 동작구 신대방동 686-1,병원,37.4884182866282,126.906625021475,category
심정병원,서울 관악구 신림동 527-15,병원,37.482318053442484,126.91566634149545,category
드림온비뇨기과의원,서울 관악구 신림동 1643,병원,37.4843105768399,126.903247201296,category
24시 글로리 동물병원,서울 금천구 독산동 145-13,병원,37.47672890020831,126.89825544524503,category
밝은빛성모안과의원,서울 영등포구 대림동 990-1,병원,37.4889195929829,126.905925607115,category
한림대학교강남성심병원,서울 영등포구 대림동 948-1,병원,37.493386312156154,126.9087673495584,category
런드리익스프레스샵 구로전화국점,서울 관악구 신림동 1664-25,코인빨래방,37.4809538542207,126.90159179604316,keyword
워시엔조이 구로디지털단지점,서울 영등포구 대림동 1126,코인빨래방,37.48608032497927,126.90345296523891,keyword
런드리익스프레스 구디점,서울 구로구 구로동 1129-11,코인빨래방,37.480997217099386,126.8974876273995,keyword
워시팡팡셀프빨래방 독산3동점,서울 금천구 독산동 973-1,코인빨래방,37.47625203477067,126.90334577302342,keyword
화이트365 독산구로점,서울 금천구 독산동 885-22,코인빨래방,37.4778787543723,126.90494681539,keyword
워시팡팡 관악조원점,서울 관악구 신림동 568-1,코인빨래방,37.4828862997355,126.90803163589,keyword
크린토피아 코인워시365 구로미소지움점,서울 구로구 구로동 1274,코인빨래방,37.48003525142981,126.89681058468099,keyword
